alpha_i,c,rho,f_opts,steps,final_errors
1,0.58,0.9,6.20109099249649e-05,92,6.20109099249649e-05
1,0.74,0.9,6.3572092591061e-05,156,6.3572092591061e-05
0.55,0.58,0.9,6.47232502978386e-05,114,6.47232502978386e-05
0.55,0.74,0.74,7.39783762424749e-05,203,7.39783762424749e-05
0.325,0.9,0.9,7.44916656014555e-05,219,7.44916656014555e-05
0.1,0.74,0.9,7.6334893022181e-05,171,7.6334893022181e-05
0.1,0.9,0.9,7.76681906456474e-05,233,7.76681906456474e-05
1,0.42,0.42,8.07350467421325e-05,160,8.07350467421325e-05
0.775,0.9,0.42,8.11713663287726e-05,299,8.11713663287726e-05
0.775,0.58,0.9,8.18620919757721e-05,98,8.18620919757721e-05
1,0.9,0.9,8.31269945270168e-05,228,8.31269945270168e-05
1,0.58,0.74,8.31946589849469e-05,192,8.31946589849469e-05
1,0.1,0.26,8.39917055469581e-05,292,8.39917055469581e-05
0.55,0.74,0.9,8.47240953575004e-05,156,8.47240953575004e-05
0.55,0.74,0.1,8.49436453715261e-05,238,8.49436453715261e-05
0.325,0.9,0.42,8.50375365573262e-05,297,8.50375365573262e-05
1,0.9,0.74,8.50747352171703e-05,236,8.50747352171703e-05
0.1,0.58,0.74,8.54285942391589e-05,166,8.54285942391589e-05
1,0.26,0.42,8.5469273917798e-05,153,8.5469273917798e-05
0.325,0.9,0.74,8.55013307045112e-05,235,8.55013307045112e-05
0.325,0.74,0.74,8.60744532931365e-05,153,8.60744532931365e-05
0.775,0.26,0.26,8.68781257898265e-05,319,8.68781257898265e-05
1,0.9,0.58,8.77969341492271e-05,284,8.77969341492271e-05
1,0.74,0.58,8.81632999073841e-05,255,8.81632999073841e-05
0.325,0.9,0.1,8.8284754142156e-05,423,8.8284754142156e-05
1,0.1,0.42,8.91348261509791e-05,178,8.91348261509791e-05
0.1,0.58,0.9,8.95378436651589e-05,153,8.95378436651589e-05
0.775,0.9,0.1,8.96084472606707e-05,312,8.96084472606707e-05
0.55,0.58,0.1,8.96746606251037e-05,214,8.96746606251037e-05
0.325,0.58,0.26,8.98202103225798e-05,191,8.98202103225798e-05
0.325,0.74,0.58,8.99110290902042e-05,261,8.99110290902042e-05
0.1,0.9,0.58,9.0071789867973e-05,315,9.0071789867973e-05
0.775,0.26,0.1,9.11075555403313e-05,215,9.11075555403313e-05
1,0.58,0.42,9.11649903537548e-05,230,9.11649903537548e-05
0.55,0.9,0.58,9.11970294076042e-05,302,9.11970294076042e-05
0.1,0.26,0.58,9.13138479988634e-05,310,9.13138479988634e-05
1,0.74,0.74,9.17150550587058e-05,208,9.17150550587058e-05
0.55,0.74,0.58,9.22497423922623e-05,265,9.22497423922623e-05
0.325,0.58,0.74,9.26211578352287e-05,181,9.26211578352287e-05
0.325,0.9,0.26,9.27244771539362e-05,252,9.27244771539362e-05
1,0.74,0.26,9.27449779288766e-05,246,9.27449779288766e-05
0.1,0.9,0.26,9.2898226997121e-05,392,9.2898226997121e-05
0.325,0.26,0.42,9.29516792245269e-05,276,9.29516792245269e-05
0.55,0.9,0.42,9.31239353868382e-05,415,9.31239353868382e-05
0.325,0.74,0.1,9.31965229448903e-05,354,9.31965229448903e-05
1,0.42,0.26,9.33027869330866e-05,241,9.33027869330866e-05
0.325,0.74,0.42,9.34957515199957e-05,293,9.34957515199957e-05
0.1,0.9,0.74,9.37078339587578e-05,225,9.37078339587578e-05
0.55,0.9,0.9,9.38129699924932e-05,216,9.38129699924932e-05
0.325,0.1,0.9,9.38707349638384e-05,430,9.38707349638384e-05
0.325,0.42,0.42,9.38821966277084e-05,263,9.38821966277084e-05
0.1,0.58,0.58,9.39097039489943e-05,303,9.39097039489943e-05
0.775,0.74,0.9,9.40811937356992e-05,142,9.40811937356992e-05
0.55,0.1,0.74,9.44659293650114e-05,421,9.44659293650114e-05
0.775,0.42,0.42,9.46973588380724e-05,260,9.46973588380724e-05
0.1,0.42,0.58,9.48224454577882e-05,305,9.48224454577882e-05
0.775,0.42,0.74,9.49697841574558e-05,306,9.49697841574558e-05
0.775,0.74,0.74,9.51818022619483e-05,194,9.51818022619483e-05
0.325,0.42,0.26,9.55947530529212e-05,187,9.55947530529212e-05
0.1,0.26,0.42,9.5645141762593e-05,332,9.5645141762593e-05
0.775,0.9,0.74,9.56715936384961e-05,237,9.56715936384961e-05
0.55,0.58,0.74,9.57918078526123e-05,188,9.57918078526123e-05
0.55,0.42,0.42,9.58139173736324e-05,327,9.58139173736324e-05
0.325,0.58,0.58,9.58271894455894e-05,266,9.58271894455894e-05
0.775,0.1,0.26,9.59109408733964e-05,375,9.59109408733964e-05
0.775,0.26,0.58,9.59995991940831e-05,303,9.59995991940831e-05
0.55,0.26,0.1,9.60277311954099e-05,213,9.60277311954099e-05
0.55,0.1,0.1,9.60277311954099e-05,213,9.60277311954099e-05
0.55,0.42,0.1,9.60277311954099e-05,213,9.60277311954099e-05
0.55,0.26,0.9,9.61102233050886e-05,428,9.61102233050886e-05
0.325,0.1,0.26,9.61392939780033e-05,190,9.61392939780033e-05
0.325,0.26,0.26,9.61392939780035e-05,190,9.61392939780035e-05
0.325,0.42,0.74,9.61970620901618e-05,416,9.61970620901618e-05
0.325,0.26,0.9,9.62177361781082e-05,428,9.62177361781082e-05
0.1,0.74,0.26,9.62305039953137e-05,374,9.62305039953137e-05
0.325,0.58,0.1,9.62806496553565e-05,353,9.62806496553565e-05
0.325,0.26,0.1,9.62806496553566e-05,353,9.62806496553566e-05
0.325,0.42,0.1,9.62806496553567e-05,353,9.62806496553567e-05
0.325,0.1,0.1,9.62806496553567e-05,353,9.62806496553567e-05
0.55,0.26,0.26,9.62850219486535e-05,411,9.62850219486535e-05
0.325,0.26,0.58,9.6294382339974e-05,360,9.6294382339974e-05
0.775,0.42,0.26,9.63330930956918e-05,311,9.63330930956918e-05
0.325,0.9,0.58,9.6376466283347e-05,296,9.6376466283347e-05
