alpha_i,c,rho,f_opts,steps,final_errors
1,0.1,0.1,2.23569820834114e-06,114,2.23569820834114e-06
1,0.1,0.26,6.9163810073146e-05,84,6.9163810073146e-05
1,0.1,0.42,8.28182915005173e-05,103,8.28182915005173e-05
1,0.1,0.58,3.42544073081176e-05,99,3.42544073081176e-05
1,0.1,0.74,9.19749173221644e-05,114,9.19749173221644e-05
1,0.1,0.9,8.87946752287122e-08,117,8.87946752287122e-08
1,0.26,0.1,6.22589258329412e-06,114,6.22589258329412e-06
1,0.26,0.26,5.93815152794043e-05,84,5.93815152794043e-05
1,0.26,0.42,8.40528317371254e-05,90,8.40528317371254e-05
1,0.26,0.58,4.72812193398563e-05,84,4.72812193398563e-05
1,0.26,0.74,6.14424986483166e-05,94,6.14424986483166e-05
1,0.26,0.9,4.67460736982006e-05,110,4.67460736982006e-05
1,0.42,0.1,7.22805353430831e-06,114,7.22805353430831e-06
1,0.42,0.26,8.86039118948789e-05,85,8.86039118948789e-05
1,0.42,0.42,9.43337712441774e-05,91,9.43337712441774e-05
1,0.42,0.58,3.85936054802922e-05,84,3.85936054802922e-05
1,0.42,0.74,5.22638230767943e-05,72,5.22638230767943e-05
1,0.42,0.9,6.04758741259635e-05,72,6.04758741259635e-05
1,0.58,0.1,8.99699139950521e-05,148,8.99699139950521e-05
1,0.58,0.26,9.57191520784312e-05,126,9.57191520784312e-05
1,0.58,0.42,5.37526162949948e-05,103,5.37526162949948e-05
1,0.58,0.58,8.92868843634555e-05,99,8.92868843634555e-05
1,0.58,0.74,5.59181349063489e-05,94,5.59181349063489e-05
1,0.58,0.9,5.85046579226853e-05,84,5.85046579226853e-05
1,0.74,0.1,8.66183615820436e-05,176,8.66183615820436e-05
1,0.74,0.26,9.45174146874301e-05,139,9.45174146874301e-05
1,0.74,0.42,5.32089224541709e-05,125,5.32089224541709e-05
1,0.74,0.58,5.60094821283062e-05,123,5.60094821283062e-05
1,0.74,0.74,8.90047332751212e-05,118,8.90047332751212e-05
1,0.74,0.9,8.44348730454577e-05,115,8.44348730454577e-05
1,0.9,0.1,8.93653204905214e-05,224,8.93653204905214e-05
1,0.9,0.26,9.40070336155314e-05,270,9.40070336155314e-05
1,0.9,0.42,7.45387403201165e-05,167,7.45387403201165e-05
1,0.9,0.58,9.60921242716962e-05,159,9.60921242716962e-05
1,0.9,0.74,8.12841136231213e-05,166,8.12841136231213e-05
1,0.9,0.9,7.51962525820938e-05,157,7.51962525820938e-05
