alpha_i,c,rho,f_opts,steps,final_errors
0.1,0.1,0.1,35.7783109661361,22,9.0263574385574e-05
0.1,0.1,0.26,66.6417648877668,11,8.38708588162262e-05
0.1,0.1,0.42,37.9742246855509,26,8.03744948854046e-05
0.1,0.1,0.58,64.8866481136228,7,6.64468646931482e-05
0.1,0.1,0.74,38.1110409270652,24,8.60847248986829e-05
0.1,0.1,0.9,39.7114332305967,38,7.37628438685078e-05
0.1,0.26,0.1,37.3486992247167,22,4.46061776457896e-05
0.1,0.26,0.26,37.480686469286,11,8.11712800370401e-05
0.1,0.26,0.42,37.434907431441,10,5.20252621853956e-05
0.1,0.26,0.58,37.2813216713507,9,8.96906056482294e-05
0.1,0.26,0.74,37.2991803644908,10,3.03110165802423e-05
0.1,0.26,0.9,36.9757711090146,13,8.9529031363611e-05
0.1,0.42,0.1,37.5558275456121,30,4.63891738249345e-05
0.1,0.42,0.26,37.5125705826512,29,9.83303824639847e-05
0.1,0.42,0.42,37.5274100869013,12,6.45450516358892e-05
0.1,0.42,0.58,37.5315906876153,11,9.97479367086385e-05
0.1,0.42,0.74,37.518438006843,8,3.64441058522402e-05
0.1,0.42,0.9,37.4685119603004,8,3.73128382591403e-05
0.1,0.58,0.1,37.6347051833837,43,4.18366375853907e-05
0.1,0.58,0.26,37.6080301128749,35,5.38647517700497e-05
0.1,0.58,0.42,37.5943152029859,18,2.60867684573896e-05
0.1,0.58,0.58,37.6068987388315,18,5.67607218400212e-05
0.1,0.58,0.74,37.5884099067935,17,7.45116965958914e-05
0.1,0.58,0.9,37.565628274941,13,3.52509011420921e-05
0.1,0.74,0.1,37.6658070018119,76,7.53070413139767e-05
0.1,0.74,0.26,37.6526994756996,48,5.23632708819832e-05
0.1,0.74,0.42,37.6431135881875,43,9.84116495743592e-05
0.1,0.74,0.58,37.6396247013499,35,4.35735421646655e-05
0.1,0.74,0.74,37.6384157621069,30,4.67410413378389e-05
0.1,0.74,0.9,37.6254720403091,27,4.71157969670344e-05
0.1,0.9,0.1,37.6831468180308,312,9.73579033143324e-05
0.1,0.9,0.26,37.6795532912012,162,9.35835028244014e-05
0.1,0.9,0.42,37.6768450864545,119,8.7653718161107e-05
0.1,0.9,0.58,37.6740501452438,105,9.30670290770763e-05
0.1,0.9,0.74,37.672051886602,86,7.05547633046422e-05
0.1,0.9,0.9,37.6699623911785,80,7.95235893420454e-05
0.325,0.1,0.1,66.4593859554543,17,5.83499911925855e-05
0.325,0.1,0.26,65.8454854481406,9,8.25434920272983e-05
0.325,0.1,0.42,66.5554002514441,5,5.78781697555542e-05
0.325,0.1,0.58,65.8356812141594,9,4.82424554348881e-05
0.325,0.1,0.74,38.0978965494349,24,6.34219841586514e-05
0.325,0.1,0.9,39.70308635917,41,7.98856542729709e-05
0.325,0.26,0.1,37.243219243146,14,4.26980659611331e-05
0.325,0.26,0.26,37.4894060339507,9,6.04832126214205e-05
0.325,0.26,0.42,37.3079519418057,8,3.6349999724905e-05
0.325,0.26,0.58,37.4021402401904,10,6.82005963810184e-05
0.325,0.26,0.74,37.3460574481852,9,3.41528956937509e-05
0.325,0.26,0.9,36.7597552727392,14,6.15557972309944e-05
0.325,0.42,0.1,37.5639618944438,75,7.83303627613918e-05
0.325,0.42,0.26,37.5033197904223,12,5.89214519877146e-05
0.325,0.42,0.42,37.5617719201949,10,8.12027447025798e-05
0.325,0.42,0.58,37.5285054954987,12,4.6934029711565e-05
0.325,0.42,0.74,37.4831229326585,9,3.56792984206322e-05
0.325,0.42,0.9,37.4732803311543,9,5.7192495006575e-05
0.325,0.58,0.1,37.6235229157967,82,7.86122113680676e-05
0.325,0.58,0.26,37.6015491900996,39,8.63227544698475e-05
0.325,0.58,0.42,37.5934325830206,27,6.59074676221394e-05
0.325,0.58,0.58,37.604843130463,17,3.66202054351561e-05
0.325,0.58,0.74,37.5894401739167,17,3.72023645240915e-05
0.325,0.58,0.9,37.5673091833235,13,4.02428134407273e-05
0.325,0.74,0.1,37.6619106157071,103,8.69668398024714e-05
0.325,0.74,0.26,37.6521699107805,51,9.26005449457534e-05
0.325,0.74,0.42,37.6426472331406,37,4.7647570838194e-05
