alpha_i,c,rho,f_opts,steps,final_errors
1,0.1,0.74,2.13402543882854e-07,202,1.21380624427375e-05
1,0.42,0.1,2.76651698969367e-07,565,8.75094104451975e-06
1,0.42,0.26,4.12498891760491e-07,216,1.8587863286441e-05
1,0.1,0.26,4.61092698805605e-07,131,2.41360963886537e-05
1,0.1,0.9,5.1693139230653e-07,239,2.21804262802533e-05
1,0.26,0.26,7.7813903247857e-07,214,2.06877440758297e-05
1,0.42,0.74,1.75344280536082e-06,160,2.56524165893135e-05
1,0.26,0.74,3.07552343323898e-06,114,6.22280063776223e-05
1,0.26,0.58,3.92657143076278e-06,108,9.188890734235e-05
1,0.58,0.9,9.19591042273977e-06,195,4.70713536260238e-05
1,0.1,0.58,3.64260158981858e-05,87,5.95577024378836e-05
1,0.1,0.1,0.271189575297482,6,1.10594174562717e-06
1,0.1,0.42,7.2208232766529,5,3.16434901410645e-05
1,0.26,0.42,7.2208232766529,5,3.16434901410645e-05
1,0.26,0.9,16.491856160151,5,8.12104753258325e-05
1,0.42,0.9,921.661978584628,12,5.6843418860808e-13
1,0.42,0.42,1534.36429017281,9,0
1,0.42,0.58,1883.70712724793,10,1.36424205265939e-12
1,0.74,0.42,1992.57847764943,37,0
1,0.26,0.1,2000.47397407835,22,2.50111042987555e-12
1,0.74,0.1,2041.52819652007,144,2.50111042987555e-12
1,0.58,0.74,2066.09271796634,18,2.27373675443232e-11
1,0.74,0.9,2093.09974164658,29,3.18323145620525e-12
1,0.58,0.58,2099.14277486439,27,0
1,0.74,0.74,2114.47618159086,41,1.54614099301398e-11
1,0.9,0.58,2281.06431275379,78,1.00044417195022e-11
1,0.9,0.42,2281.10502903689,86,6.00266503170133e-11
1,0.9,0.9,2314.44543897659,93,1.36424205265939e-11
1,0.9,0.74,2321.72901409386,95,1.36424205265939e-12
1,0.74,0.26,2325.22585429545,58,5.91171556152403e-12
1,0.58,0.26,2329.58917231072,50,0
1,0.74,0.58,2357.36235648252,41,1.59161572810262e-11
1,0.9,0.26,2388.97222377145,208,5.6843418860808e-11
1,0.9,0.1,2441.45112514429,146,6.9576344685629e-11
1,0.58,0.42,2588.86875697068,31,2.5465851649642e-11
1,0.58,0.1,2813.71642327176,128,2.95585778076202e-11
